Angle1,x1,y1,Angle2,x2,y2,Angle3,x3,y3
-43.41,683,-722,2.149728121,25,666,-2.290604686,-27,675
-43.49,685,-722,2.500780806,29,664,-2.614038977,-31,679
-43.08,677,-724,2.5083264,29,662,-2.121091437,-25,675
-43.41,683,-722,2.500780806,29,664,-2.460077824,-29,675
-43.41,681,-720,2.664990903,31,666,-2.968227089,-35,675
-43.41,683,-722,2.335537016,27,662,-2.474724789,-29,671
-43.25,681,-724,2.156197103,25,664,-2.645160861,-31,671
-43.33,683,-724,3.035562027,35,660,-2.467379583,-29,673
-43.17,681,-726,2.673006359,31,664,-2.621750637,-31,677
-43.24,679,-722,2.681070141,31,662,-2.460077824,-29,675
-43.41,681,-720,2.681070141,31,662,-2.460077824,-29,675
-43.48,681,-718,2.681070141,31,662,-2.790636544,-33,677
-43.49,683,-720,2.845183587,33,664,-2.460077824,-29,675
-43.17,681,-726,2.5083264,29,662,-2.438429408,-29,681
-43.32,679,-720,3.017309401,35,664,-2.467379583,-29,673
-43.33,681,-722,2.493280445,29,666,-2.297404549,-27,673
-43.25,681,-724,2.681070141,31,662,-2.460077824,-29,675
-43.16,677,-722,2.862398533,33,660,-2.798891969,-33,675
-43.16,677,-722,2.85376512,33,662,-2.637311171,-31,673
-43.17,681,-726,2.681070141,31,662,-2.452819127,-29,677
-43.41,683,-722,2.681070141,31,662,-2.297404549,-27,673
-43.33,683,-724,2.342606528,27,660,-2.6295079,-31,675
-43.24,679,-722,2.321525161,27,666,-2.283844936,-27,677
-43.4,679,-718,2.5083264,29,662,-2.645160861,-31,671
-43.41,683,-722,2.342606528,27,660,-2.637311171,-31,673
-43.41,681,-720,2.689182688,31,660,-2.290604686,-27,675
-43.25,681,-724,2.681070141,31,662,-2.790636544,-33,677
-43.32,679,-720,2.162705117,25,662,-2.460077824,-29,675
-43.41,683,-722,2.500780806,29,664,-2.290604686,-27,675
-43.33,681,-722,2.328510021,27,664,-2.452819127,-29,677
-43.32,679,-720,2.697344442,31,658,-2.645160861,-31,671
-43.24,679,-722,3.026408219,35,662,-2.474724789,-29,671
-43.33,681,-722,2.689182688,31,660,-2.474724789,-29,671
-43.33,683,-724,2.500780806,29,664,-2.283844936,-27,677
-43.24,677,-720,3.026408219,35,662,-2.283844936,-27,677
-43.48,681,-718,2.335537016,27,662,-2.621750637,-31,677
-43.41,683,-722,2.673006359,31,664,-2.798891969,-33,675
-43.09,681,-728,2.673006359,31,664,-2.637311171,-31,673
-43.17,681,-726,2.681070141,31,662,-2.467379583,-29,673
-43.17,681,-726,2.515917637,29,660,-2.460077824,-29,675
-43.33,681,-722,3.026408219,35,662,-2.445603114,-29,679
-43.33,681,-722,2.335537016,27,662,-2.467379583,-29,673
-43.41,683,-722,2.862398533,33,660,-2.621750637,-31,677
-43.17,681,-726,2.5083264,29,662,-2.452819127,-29,677
-43.25,683,-726,2.500780806,29,664,-2.297404549,-27,673
-43.41,681,-720,2.85376512,33,662,-2.977032128,-35,673
-43.16,679,-724,2.5083264,29,662,-2.290604686,-27,675
