Angle1,x1,y1,x2,y2,x3,y3
-2.27,39,-984,11,917,-3,70
-2.16,37,-982,13,916,-7,72
-2.27,39,-982,15,914,-5,66
-2.39,41,-982,11,917,-3,66
-2.27,39,-984,15,919,-7,68
-2.15,37,-984,15,916,-7,64
-2.04,35,-984,15,919,-7,70
-2.27,39,-982,13,917,-5,68
-2.17,37,-978,11,917,-1,64
-2.38,41,-986,15,914,-3,64
-2.39,41,-982,11,917,-5,70
-2.15,37,-986,11,917,-7,66
-2.16,37,-982,17,916,-5,68
-2.15,37,-986,15,912,-7,68
-2.38,41,-988,13,914,-5,68
-2.38,41,-986,15,916,-3,72
-2.27,39,-984,15,910,-5,72
-2.38,41,-988,15,916,-3,74
-2.39,41,-984,15,916,-5,68
-1.92,33,-986,15,919,-3,62
-2.15,37,-986,17,916,-5,66
-2.39,41,-982,15,914,-5,70
-2.27,39,-982,13,912,-5,68
-2.39,41,-984,13,912,-3,66
-2.27,39,-984,9,916,-7,66
-2.39,41,-984,13,916,-11,72
-2.39,41,-982,13,914,-7,70
-2.39,41,-984,15,917,-3,70
-2.43,42,-988,13,917,-7,68
-2.39,41,-984,13,917,-1,70
-2.56,44,-984,15,917,-5,70
-2.27,39,-986,15,917,-3,66
-2.44,42,-984,13,917,-7,68
-2.27,39,-982,15,912,-5,66
-2.44,42,-984,15,914,-7,72
-2.27,39,-982,17,917,-5,70
-2.28,39,-980,13,916,-5,68
-2.44,42,-984,13,916,-7,66
-2.4,41,-980,17,916,-3,68
-2.44,42,-986,19,914,-5,70
-2.27,39,-982,15,912,-5,68
-2.27,39,-986,15,912,-1,72
-2.17,37,-978,13,914,-7,68
-2.27,39,-984,15,916,-7,70
-2.27,39,-982,17,917,-3,72
-2.45,42,-982,13,912,-5,70
-2.27,39,-982,15,917,-7,72
-2.27,39,-984,17,916,-5,64
-2.39,41,-984,15,910,-3,70
-2.39,41,-982,13,914,-5,68
-2.56,44,-984,13,912,-5,72
-2.15,37,-984,15,916,-3,72
-2.26,39,-988,17,916,-7,66
-2.16,37,-982,13,917,-3,68
-2.39,41,-982,15,914,-3,72
-2.38,41,-988,9,912,-3,72
-2.03,35,-986,17,914,-7,70
-2.27,39,-984,11,917,-7,70
-2.38,41,-988,15,912,0,70
-2.04,35,-984,15,910,-5,68
-2.27,39,-982,13,917,-5,70
-2.39,41,-984,17,917,-7,72
-2.28,39,-980,15,916,-5,70
-2.27,39,-986,13,914,-3,68
-2.27,39,-986,15,914,-5,68
-2.38,41,-986,13,910,-5,68
-2.38,41,-986,15,916,-5,64
-2.39,41,-984,9,916,-5,70
-2.43,42,-990,13,916,-3,70
-2.44,42,-986,17,910,-7,72
-2.27,39,-984,17,914,-5,66
-2.44,42,-986,15,916,-5,68
-2.27,39,-984,13,914,-3,70
-2.56,44,-984,17,916,-3,70
-2.56,44,-986,13,914,-1,70
-2.27,39,-984,13,914,-7,68
-2.27,39,-984,13,914,-7,74
-2.27,39,-982,11,912,-3,70
-2.39,41,-984,11,914,-5,70
-2.27,39,-984,9,914,-5,68
-2.44,42,-984,11,914,-3,74
-2.15,37,-984,15,912,-7,66
-2.16,37,-980,19,912,-3,68
-2.39,41,-982,11,912,-7,76
-2.4,41,-980,19,916,-5,68
-2.28,39,-978,13,917,-9,70
-2.45,42,-980,13,914,-5,68
-2.57,44,-982,13,912,-7,72
-2.45,42,-980,13,916,-5,68
-2.45,42,-982,13,916,-3,72
-2.16,37,-982,13,914,-5,66
-2.17,37,-978,15,914,-5,66
-2.27,39,-982,13,916,-3,68
-2.45,42,-980,17,916,-3,74
-2.4,41,-980,11,916,-9,66
-2.39,41,-984,13,916,-3,74
-2.27,39,-984,13,917,-5,70
-2.28,39,-980,13,914,-1,64
-2.27,39,-984,15,916,-5,70
-2.4,41,-980,15,912,-3,68
-2.44,42,-984,17,917,-7,68
-2.16,37,-980,13,914,-7,66
-2.44,42,-984,15,916,-3,68
-2.27,39,-986,15,916,-11,68
-2.27,39,-986,15,914,-3,70
-2.39,41,-984,17,916,-3,66
-2.27,39,-982,15,917,-3,70
-2.4,41,-980,17,917,-7,72
-2.28,39,-978,15,917,-5,68
-2.57,44,-982,13,916,-3,66
-2.16,37,-982,15,917,-1,70
-2.27,39,-984,17,917,-5,72
-2.39,41,-982,15,916,-7,66
-2.45,42,-982,11,916,-3,66
-2.44,42,-984,13,916,-5,68
-2.39,41,-982,15,917,-3,70
-2.27,39,-984,19,919,-7,66
-2.04,35,-984,11,917,-5,68
-2.39,41,-984,17,917,-5,70
-2.16,37,-982,11,914,-5,70
-2.4,41,-980,15,916,-1,68
-2.27,39,-984,13,910,-1,74
-2.4,41,-980,15,916,-5,72
-2.27,39,-984,13,914,-3,66
-2.39,41,-982,15,912,-5,70
-2.4,41,-980,15,917,-3,68
-2.28,39,-980,13,916,-5,70
-2.46,42,-978,13,914,-3,72
-2.4,41,-980,13,914,-3,68
-2.28,39,-980,17,919,-3,68
-2.4,41,-980,13,916,-5,70
-2.38,41,-986,15,914,-7,68
-2.39,41,-982,13,917,-7,70
-2.44,42,-984,11,916,-3,70
-2.56,44,-984,13,916,-3,68
-2.27,39,-982,11,917,-3,68
-2.38,41,-986,9,914,-7,70
-2.27,39,-986,11,916,-7,70
-2.44,42,-986,15,916,-5,68
-2.44,42,-984,11,914,-3,72
-2.26,39,-988,15,910,-1,68
-2.26,39,-988,15,912,-7,70
-2.45,42,-980,15,912,-7,72
-2.26,39,-988,9,916,-1,66
-2.27,39,-982,13,914,-3,70
-2.27,39,-982,9,914,-5,68
-2.27,39,-982,19,916,-5,68
-2.16,37,-982,19,914,-3,66
-2.27,39,-984,15,912,-3,72
-2.28,39,-980,15,914,-1,72
-2.27,39,-984,15,912,-5,72
-2.27,39,-984,13,914,-5,66
-2.39,41,-984,15,912,-5,68
-2.28,39,-980,15,914,-5,72
-2.27,39,-982,13,916,-3,68
-2.27,39,-984,17,912,-3,72
-2.16,37,-982,15,912,-5,68
-2.16,37,-982,15,914,-7,72
-2.44,42,-984,17,914,-7,70
-2.39,41,-982,15,914,-7,68
-2.39,41,-982,13,917,-5,70
-2.26,39,-988,13,912,-7,66
-2.38,41,-988,17,914,-5,68
-2.27,39,-986,13,912,-5,68
-2.27,39,-982,15,916,-7,68
-2.4,41,-980,11,917,-5,68
-2.44,42,-986,15,914,-5,68
-2.39,41,-982,11,914,-3,68
-2.28,39,-980,15,914,-1,72
-2.4,41,-978,15,914,-3,68
-2.28,39,-978,19,914,-5,70
-2.28,39,-980,17,919,-7,68
-2.44,42,-984,17,910,-1,68
-2.39,41,-984,17,916,-5,68
-2.27,39,-984,15,916,-3,70
-2.27,39,-984,15,916,-5,70
-2.38,41,-986,13,912,-3,70
-2.38,41,-988,13,914,-1,68
-2.56,44,-984,13,914,-5,66
-2.43,42,-988,15,916,-3,70
-2.39,41,-984,13,914,-7,70
-2.27,39,-986,13,912,-7,68
-2.44,42,-984,13,917,-9,72
-2.38,41,-986,15,914,-1,66
-2.39,41,-982,15,912,-3,70
-2.38,41,-986,13,917,-7,68
-2.38,41,-988,15,916,-7,66
-2.43,42,-988,15,914,-7,72
-2.39,41,-984,15,912,-5,68
-2.27,39,-984,13,916,-3,66
-2.38,41,-988,11,916,-7,70
-2.27,39,-984,15,917,-7,70
-2.44,42,-986,17,916,-3,72
-2.57,44,-982,13,914,-5,66
-2.28,39,-980,13,916,-5,70
-2.38,41,-986,13,912,-5,72
-2.38,41,-986,17,917,-3,68
-2.38,41,-988,13,914,-5,68
-2.39,41,-982,15,914,-1,74
-2.27,39,-986,15,912,-7,70
-2.44,42,-984,13,916,-7,70
-2.27,39,-984,13,914,-3,70
-2.15,37,-984,19,912,-3,66
-2.39,41,-984,13,914,-3,72
-2.45,42,-982,15,921,-3,72
-2.57,44,-980,11,917,-1,70
-2.27,39,-982,13,921,-9,66
-2.45,42,-982,19,916,-1,68
-2.57,44,-982,13,916,-3,64
-2.27,39,-986,13,916,-7,72
-2.44,42,-984,17,914,-5,68
-2.57,44,-980,15,916,-3,72
-2.4,41,-980,15,916,-5,68
