Inclinometer Data Before Filtering,Filtered Data,Norm_Var,Filted Var
2.03686,2.0895,0.000180433,0.333928
2.27625,2.09335,0.00217696,0.3295
2.02838,2.09203,0.000263469,0.325251
2.15206,2.09323,0.000224968,0.321172
2.14759,2.09431,0.000184445,0.317254
2.03686,2.09318,0.000206022,0.313489
1.79739,2.08746,0.00546155,0.309869
2.2715,2.09098,0.00211438,0.306388
2.26677,2.09431,0.00192898,0.303038
2.2715,2.09763,0.00195984,0.299812
2.2715,2.10085,0.00188708,0.296706
2.02838,2.09952,0.000327868,0.293714
2.03261,2.09831,0.000279488,0.290829
2.14759,2.09919,0.000151611,0.288049
2.15206,2.10014,0.000174456,0.285367
2.03261,2.09894,0.000284639,0.282779
1.79364,2.0936,0.00581837,0.280281
2.2715,2.09669,0.00197565,0.27787
2.2715,2.0997,0.00190763,0.275542
1.91713,2.09658,0.00208054,0.273293
2.15656,2.09759,0.000224589,0.27112
1.78991,2.09242,0.00590944,0.269019
2.14759,2.09334,0.000189992,0.266988
2.26677,2.09621,0.0018775,0.265024
2.15656,2.09721,0.00022732,0.263125
2.15206,2.0981,0.000187824,0.261287
2.2715,2.10091,0.00187683,0.259509
2.14759,2.10167,0.000135993,0.257787
2.03261,2.10056,0.000297677,0.256121
1.91314,2.09758,0.00219267,0.254507
1.79739,2.09283,0.00562508,0.252944
1.90915,2.08995,0.00210611,0.25143
2.15206,2.09092,0.000240821,0.249963
1.79364,2.0863,0.00551649,0.248541
2.03261,2.08547,0.000179939,0.247163
2.02416,2.08453,0.000234644,0.245827
2.16562,2.08577,0.000410474,0.244532
2.03261,2.08496,0.00017639,0.243276
2.03261,2.08417,0.000171067,0.242058
1.91713,2.08165,0.00174167,0.240876
2.15206,2.08271,0.000309434,0.239729
2.14759,2.08368,0.000262776,0.238617
2.39092,2.08824,0.00589258,0.237537
2.02838,2.08735,0.000223649,0.236489
2.03261,2.08655,0.000187061,0.235472
2.13868,2.08731,0.000169656,0.234485
2.14759,2.08819,0.000226816,0.233526
2.14759,2.08905,0.000220244,0.232595
1.91314,2.08651,0.00193169,0.23169
2.15656,2.08752,0.000306334,0.230812
2.28102,2.0903,0.00233729,0.229959
2.38594,2.09453,0.00545593,0.22913
2.39092,2.09876,0.00548351,0.228324
2.15206,2.09952,0.000177323,0.227542
2.02838,2.09851,0.000315907,0.226781
1.90915,2.09584,0.00223831,0.226042
2.15656,2.09669,0.000230175,0.225323
2.04112,2.09591,0.000192769,0.224625
2.26677,2.0983,0.00182227,0.223946
2.2858,2.10092,0.00219446,0.223286
1.91314,2.09831,0.00220106,0.222644
2.16108,2.09918,0.000245978,0.22202
2.14759,2.09985,0.000146305,0.221413
1.91713,2.09733,0.00208399,0.220823
2.03686,2.09649,0.000228218,0.220248
2.15656,2.09732,0.000225221,0.21969
2.38099,2.1012,0.00502309,0.219147
2.26677,2.10347,0.00171114,0.218618
2.04112,2.10262,0.00024263,0.218104
2.14759,2.10323,0.000126261,0.217604
2.03261,2.10227,0.000311285,0.217117
1.91713,2.09976,0.0021396,0.216643
2.27625,2.10215,0.00194432,0.216182
2.02838,2.10115,0.00033967,0.215734
2.15206,2.10184,0.000161774,0.215297
2.02838,2.10085,0.000336825,0.214872
2.2715,2.10314,0.0018178,0.214459
2.02838,2.10214,0.00034886,0.214056
2.03261,2.10121,0.000301754,0.213664
2.14312,2.10177,0.000109645,0.213283
1.90915,2.0992,0.00231596,0.212911
1.91314,2.09673,0.00216105,0.21255
2.03686,2.09594,0.000223769,0.212198
2.02838,2.09504,0.000284907,0.211855
2.03261,2.09422,0.000243324,0.211521
2.04112,2.09352,0.000175999,0.211196
1.91713,2.09119,0.00194212,0.21088
2.2715,2.09357,0.00202937,0.210571
2.15656,2.09439,0.000247703,0.210271
1.91713,2.09207,0.00196146,0.209979
1.90915,2.08967,0.00208857,0.209694
2.03261,2.08892,0.00020324,0.209417
1.90915,2.08657,0.00201739,0.209147
2.13868,2.08725,0.000169479,0.208884
1.90519,2.08488,0.00206912,0.208627
2.26207,2.08719,0.00195982,0.208378
2.15206,2.08803,0.000262698,0.208134
2.14759,2.08881,0.000221423,0.207898
2.14312,2.08951,0.000184149,0.207667
1.90915,2.08717,0.00203058,0.207442
2.13868,2.08784,0.00016561,0.207223
2.02416,2.08702,0.000253123,0.207009
2.2715,2.0894,0.00212451,0.206802
2.03261,2.08867,0.000201315,0.206599
1.91314,2.0864,0.00192319,0.206402
2.02416,2.0856,0.000241828,0.206209
2.14759,2.0864,0.000239873,0.206022
2.2715,2.08878,0.00213874,0.205839
2.03261,2.08806,0.000196942,0.205661
2.2715,2.09041,0.00210057,0.205488
2.01997,2.08951,0.000309755,0.205319
2.02838,2.08873,0.000233259,0.205154
2.26677,2.09101,0.00197876,0.204994
2.26207,2.0932,0.00182663,0.204837
2.03261,2.09242,0.000229136,0.204685
2.03261,2.09166,0.000223311,0.204536
1.90519,2.08928,0.00217041,0.204391
1.91314,2.08703,0.00193655,0.20425
2.39092,2.0909,0.00576474,0.204113
2.14759,2.09163,0.000200585,0.203979
2.14759,2.09234,0.000195503,0.203848
2.03261,2.09158,0.000222694,0.203721
1.90519,2.08921,0.00216858,0.203597
2.2715,2.09153,0.00207433,0.203476
2.02838,2.09072,0.000248895,0.203358
1.91713,2.08852,0.00188105,0.203243
2.14312,2.08921,0.000186107,0.203131
2.02416,2.08839,0.000264144,0.203022
2.02416,2.08757,0.000257483,0.202915
1.91713,2.08541,0.00181336,0.202811
2.16108,2.08637,0.000357422,0.20271
2.14759,2.08714,0.000233959,0.202612
2.15656,2.08802,0.000300783,0.202515
2.16108,2.08895,0.000333168,0.202422
2.02838,2.08818,0.000228987,0.20233
2.02416,2.08737,0.00025585,0.202241
1.90519,2.08507,0.0020718,0.202154
1.91314,2.0829,0.00184519,0.20207
2.14312,2.08366,0.000226379,0.201987
2.02838,2.08296,0.000190747,0.201907
2.03261,2.08233,0.000158256,0.201828
1.91314,2.08019,0.00178677,0.201752
2.13426,2.08087,0.000182475,0.201677
2.04112,2.08037,9.87E-05,0.201605
2.14759,2.08122,0.000282026,0.201534
2.03261,2.08061,0.0001475,0.201465
2.15206,2.08151,0.000318687,0.201397
2.14759,2.08234,0.00027259,0.201332
1.90915,2.08016,0.00187231,0.201268
2.03686,2.07962,0.000117037,0.201205
