Angle1,x1,y1,Angle2,x2,y2,Angle3,x3,y3,,Angle_t
-3.06,52,-972,0.944348195,15,910,-3.764026063,-5,76,,3.270480275
-3.07,52,-968,1.072590517,17,908,-0.690275584,-1,83,,3.277668288
-2.82,48,-976,0.822066534,13,906,-5.12817905,-7,78,,3.032695524
-3.07,52,-970,1.067887264,17,912,-5.000632904,-7,80,,3.263323687
-2.96,50,-968,0.822066534,13,906,-5.000632904,-7,80,,3.158807043
-3.19,54,-968,0.818453548,13,910,-6.581929264,-9,78,,3.395979017
-2.94,50,-974,1.324883365,21,908,-3.576326012,-5,80,,3.151863362
-2.83,48,-972,0.946427879,15,908,-3.576326012,-5,80,,3.026028007
-2.83,48,-972,0.946427879,15,908,-7.829058202,-11,80,,3.026028007
-3.06,52,-972,0.818453548,13,910,-5.12817905,-7,78,,3.270480275
-3.07,52,-970,0.946427879,15,908,-3.489316746,-5,82,,3.277668288
-2.83,48,-972,0.823885015,13,904,-5.12817905,-7,78,,3.039392462
-3.06,52,-972,0.820256063,13,908,-2.147580406,-3,80,,3.277668288
-2.95,50,-970,0.948516743,15,906,-5.262383094,-7,76,,3.158807043
-2.83,48,-970,1.070233724,17,910,-0.716158271,-1,80,,3.019389716
-2.94,50,-972,0.948516743,15,906,-6.581929264,-9,78,,3.158807043
-2.95,50,-970,0.950614847,15,904,-0.716158271,-1,80,,3.165781355
-2.95,50,-970,0.823885015,13,904,-3.489316746,-5,82,,3.165781355
-3.06,52,-972,0.695608317,11,906,-3.489316746,-5,82,,3.284887931
-2.95,50,-970,0.69407629,11,908,-2.147580406,-3,80,,3.151863362
-2.83,48,-972,0.700245245,11,900,-5.12817905,-7,78,,3.052875376
-3.18,54,-972,0.818453548,13,910,-4.879262373,-7,82,,3.395979017
-3.07,52,-970,0.948516743,15,906,-0.716158271,-1,80,,3.284887931
-3.06,52,-974,0.948516743,15,906,-5.262383094,-7,76,,3.284887931
-2.83,48,-970,0.823885015,13,904,-3.667779479,-5,78,,3.039392462
-2.95,50,-970,0.820256063,13,908,-2.147580406,-3,80,,3.151863362
-2.94,50,-972,1.074957711,17,906,-2.147580406,-3,80,,3.158807043
-2.96,50,-968,0.822066534,13,906,-6.41877172,-9,80,,3.158807043
-2.83,48,-970,0.820256063,13,908,-3.667779479,-5,78,,3.026028007
-3.07,52,-970,1.074957711,17,906,-3.576326012,-5,80,,3.284887931
-3.06,52,-972,0.820256063,13,908,-2.260496625,-3,76,,3.277668288
-2.94,50,-972,0.946427879,15,908,-3.865452131,-5,74,,3.151863362
-3.07,52,-968,0.823885015,13,904,-0.716158271,-1,80,,3.292139415
-3.06,52,-974,0.822066534,13,906,-5.262383094,-7,76,,3.284887931
-3.17,54,-974,0.946427879,15,908,-0.716158271,-1,80,,3.403441582
-2.83,48,-970,1.072590517,17,908,-5.12817905,-7,78,,3.026028007
-2.83,48,-970,1.077335376,17,904,-6.263475968,-9,82,,3.039392462
-2.94,50,-972,1.201388209,19,906,-6.581929264,-9,78,,3.158807043
-2.95,50,-970,0.69407629,11,908,-6.188601492,-9,83,,3.151863362
-3.06,52,-972,0.950614847,15,904,-2.260496625,-3,76,,3.292139415
-3.06,52,-974,1.198742753,19,908,-5.12817905,-7,78,,3.277668288
-2.94,50,-974,0.820256063,13,908,-0.734519317,-1,78,,3.151863362
